,Image,MJD,Filter,Exptime,Object_RA,Object_Dec,Image_target,Telescope/Instrument,MetaData,Datalink,Date,RA,DEC,Dobs,Dhelio,VMag,Phase,Elong.,dRAcosDEC,dDEC,RV,Tmag,Limiting,Saturation
1,rings.v3.skycell.1796.025.wrp.r.55201_48556,55201.4861288981,r,31,136.85159679522,20.9223079387828,1796.025,Pan-STARRS1,,,2455201.986129,+09:07:24.4587,+20:55:20.230,5.323502336124736,6.205349993574004,18.59580589767054,4.337627345877025,151.4908311872591,-0.1319732801118059,0.172280050230965,-15.347722823993768,17.082186210516724,21.5,14.5
2,rings.v3.skycell.1796.025.wrp.r.55203_65208,55203.6528330222,r,60,136.724791810413,21.0726643486601,1796.025,Pan-STARRS1,,,2455204.152833,+09:06:54.0176,+21:04:21.525,5.304940856279232,6.202536373067241,18.579652062784245,4.012504655299611,153.80906180433828,-0.1412221651164738,0.1746413731683749,-14.313340906064791,17.116906818783747,21.5,14.5
3,rings.v3.skycell.1796.026.wrp.r.55203_65208,55203.6528330222,r,60,136.724791810413,21.0726643486601,1796.026,Pan-STARRS1,,,2455204.152833,+09:06:54.0176,+21:04:21.525,5.304940856279232,6.202536373067241,18.579652062784245,4.012504655299611,153.80906180433828,-0.1412221651164738,0.1746413731683749,-14.313340906064791,17.116906818783747,21.5,14.5
4,rings.v3.skycell.1796.025.wrp.r.55203_66111,55203.6618553223,r,60,136.724248216831,21.0732939047117,1796.025,Pan-STARRS1,,,2455204.161855,+09:06:53.8865,+21:04:23.793,5.304866285690118,6.202524730216763,18.57958693827045,4.011136676080175,153.81871351129203,-0.1412595246493312,0.1746505341666424,-14.308977391194334,17.11706019788549,21.5,14.5
5,rings.v3.skycell.1796.026.wrp.r.55203_66111,55203.6618553223,r,60,136.724248216831,21.0732939047117,1796.026,Pan-STARRS1,,,2455204.161855,+09:06:53.8865,+21:04:23.793,5.304866285690118,6.202524730216763,18.57958693827045,4.011136676080175,153.81871351129203,-0.1412595246493312,0.1746505341666424,-14.308977391194334,17.11706019788549,21.5,14.5
6,rings.v3.skycell.1796.058.wrp.r.55219_38649,55219.3872420222,r,60,135.587414243608,22.2022820197184,1796.058,Pan-STARRS1,,,2455219.887242,+09:02:21.0189,+22:12:08.341,5.211187435147182,6.183154180208259,18.49541732079248,1.5674432904921056,170.1057324967459,-0.1882842245170057,0.1810530814895831,-6.176642933156342,17.38539177178382,21.5,14.5
7,rings.v3.skycell.1796.058.wrp.r.55219_39510,55219.3958545223,r,60,135.586712683704,22.2029054690309,1796.058,Pan-STARRS1,,,2455219.895855,+09:02:20.8508,+22:12:10.586,5.211156721273592,6.183144078362281,18.49538817643396,1.5661969842797152,170.11370105511148,-0.1882989198660968,0.181051154676634,-6.172008943615783,17.385538184285455,21.5,14.5
8,rings.v3.skycell.1796.069.wrp.r.55222_33999,55222.3407397222,r,60,135.34411829484,22.4156443711098,1796.069,Pan-STARRS1,,,2455222.84074,+09:01:22.6198,+22:24:56.484,5.202008518483964,6.179722880182716,18.48655559174948,1.173507622625462,172.61460689444945,-0.1925757319625221,0.1800543125201896,-4.584578093817931,17.437601232683825,21.5,14.5
9,rings.v3.skycell.1796.069.wrp.r.55222_34856,55222.3493059223,r,60,135.343403730982,22.4162611375164,1796.069,Pan-STARRS1,,,2455222.849306,+09:01:22.4485,+22:24:58.705,5.201985848606109,6.179713024000924,18.48653320221757,1.172499047454322,172.62100750020073,-0.1925860092266643,0.1800504470987164,-4.579955272221869,17.437746858085404,21.5,14.5
10,rings.v3.skycell.1878.044.wrp.z.55290_36270,55290.3632673111,z,30,131.981210593674,25.7369357478134,1878.044,Pan-STARRS1,,,2455290.863267,+08:47:55.4347,+25:44:13.459,5.66044404449863,6.119160666371698,18.831964297476876,8.65986116697779,112.8874126670668,0.0547759886340351,0.0421838242323391,23.63495991211975,18.530929095413857,20.9,14.5
