,Image,MJD,Filter,Exptime,Object_RA,Object_Dec,Image_target,Telescope/Instrument,MetaData,Datalink,targetname,datetime_str,datetime_jd,M1,M2,k1,k2,phasecoeff,solar_presence,lunar_presence,RA,DEC,RA_app,DEC_app,RA_rate,DEC_rate,AZ,EL,AZ_rate,EL_rate,sat_X,sat_Y,sat_PANG,siderealtime,airmass,magextinct,Tmag,Nmag,illumination,illum_defect,sat_sep,sat_vis,ang_width,PDObsLon,PDObsLat,PDSunLon,PDSunLat,SubSol_ang,SubSol_dist,NPole_ang,NPole_dist,EclLon,EclLat,r,r_rate,delta,delta_rate,lighttime,vel_sun,vel_obs,elong,elongFlag,alpha,lunar_elong,lunar_illum,sat_alpha,sunTargetPA,velocityPA,OrbPlaneAng,constellation,TDB-UT,ObsEclLon,ObsEclLat,NPole_RA,NPole_DEC,GlxLon,GlxLat,solartime,earth_lighttime,RA_3sigma,DEC_3sigma,SMAA_3sigma,SMIA_3sigma,Theta_3sigma,Area_3sigma,RSS_3sigma,r_3sigma,r_rate_3sigma,SBand_3sigma,XBand_3sigma,DoppDelay_3sigma,true_anom,hour_angle,alpha_true,PABLon,PABLat,Limiting,Saturation
4,frame-g-001458-4-0317,51668.2524413,g,54,172.266147525979,2.6966413820222,frame-g-001458-4-0317,SDSS,http://data.sdss3.org/sas/dr9/boss/photoObj/frames/301/1458/4/frame-g-001458-4-0317.fits.bz2,,382P/Larson,1998-Apr-06 07:37:31,2450909.817719907,7.1,13.4,14.0,5.0,0.03,,,141.286812366,9.992990926,141.264375529,9.998310666,-4.51203,3.904015,,,,,451617.01,12909.78,73.35,,999,,23.283,22.024,99.67376,,446387.7,*,,,,,,284.81,0.0,,,147.029965,-4.510224,7.273096616919,1.7848881,6.66622651026727,24.9437451,55.44131531,9.7840898,26.1988216,123.9966,/T,6.5455,6.09,74.0706,49.4301,104.823,282.245,-0.29219,Leo,63.185665,140.4472414,-4.9223224,,,222.114177,38.602118,,0.0,0.601,0.222,0.615,0.18,-12.78,0.3474606,0.641,771.2952,2.34e-05,0.71,2.56,0.005146,149.7404,,6.5487,143.7501,-4.7238,23.3,14.0
129,ztf_20180321397072_000377_zr_c02_o_q2_sciimg,58198.3972569113,zr,30,231.510323751193,-12.476282438236,377,ZTF,CTIO,,382P/Larson,1999-Apr-02 07:37:31,2451270.817719907,7.1,13.4,14.0,5.0,0.03,,,158.363627704,5.853443572,158.354973233,5.855979528,-10.1978,5.676841,,,,,528097.451,3834.353,72.341,,999,,23.531,22.054,99.86005,,524050.3,*,,,,,,287.34,0.0,,,162.096027,-2.663978,7.556608811998,0.9297752,6.71121278773222,16.5960114,55.81545477,9.3082821,22.8999906,145.5695,/T,4.2832,50.1,98.0846,30.1318,107.349,284.522,-0.20998,Sex,64.185651,157.8052661,-3.0000152,,,239.616188,50.914261,,0.0,0.644,0.228,0.668,0.147,-15.599,0.3076545,0.683,644.244,2.28e-05,1.15,4.17,0.004298,164.7647,,4.2879,159.9546,-2.834,24.5,12.5
130,ztf_20180326356528_000377_zg_c02_o_q2_sciimg,58203.3567477111,zg,30,231.304456285902,-12.3315378126763,377,ZTF,CTIO,,382P/Larson,1999-Apr-03 07:37:31,2451271.817719907,7.1,13.4,14.0,5.0,0.03,,,158.296070116,5.891018625,158.287363448,5.893562951,-9.96412,5.594785,,,,,524278.438,2586.688,72.264,,999,,23.534,22.061,99.85239,,520244.1,*,,,,,,287.51,0.0,,,162.136283,-2.65873,7.557145077624,0.9273705,6.72092248543261,17.0268481,55.89620787,9.3073992,23.0061612,144.5122,/T,4.3991,62.1,94.6806,31.0732,107.521,284.516,-0.22949,Sex,64.185652,157.7287722,-2.9899898,,,239.504497,50.883036,,0.0,0.643,0.228,0.666,0.146,-15.589,0.3065747,0.682,648.4922,2.28e-05,1.13,4.11,0.004326,164.805,,4.4038,159.9365,-2.8265,24.5,12.5
131,ztf_20180409427454_000377_zr_c03_o_q1_sciimg,58217.4276273111,zr,30,230.430036235333,-11.8655692304559,377,ZTF,CTIO,,382P/Larson,1999-Apr-04 07:37:31,2451272.817719907,7.1,13.4,14.0,5.0,0.03,,,158.230089783,5.928039179,158.221337486,5.930588865,-9.72579,5.510528,,,,,520444.905,1342.471,72.203,,999,,23.538,22.068,99.84463,,516444.8,*,,,,,,287.68,0.0,,,162.176532,-2.653482,7.557679953667,0.9249656,6.73087925519361,17.4515841,55.9790158,9.3065186,23.1146809,143.4569,/T,4.5134,74.1,89.6961,32.0143,107.684,284.509,-0.24888,Sex,64.185653,157.6539572,-2.9798829,,,239.395144,50.85264,,0.0,0.642,0.227,0.665,0.146,-15.58,0.3054778,0.681,652.7091,2.28e-05,1.11,4.05,0.004354,164.8452,,4.518,159.9192,-2.8189,24.5,12.5
132,ztf_20180409448090_000377_zr_c03_o_q1_sciimg,58217.448437511,zr,30,230.428450324683,-11.8648304683596,377,ZTF,CTIO,,382P/Larson,1999-Apr-05 07:37:31,2451273.817719907,7.1,13.4,14.0,5.0,0.03,,,158.165717776,5.96449072,158.156926934,5.967043164,-9.48292,5.424117,,,,,516597.462,101.981,72.157,,999,,23.542,22.075,99.8368,,512652.6,*,,,,,,287.83,0.0,,,162.216775,-2.648233,7.558213440064,0.9225606,6.74107954702313,17.8701255,56.06384904,9.3056403,23.2254611,142.4035,/T,4.626,85.9,83.3207,32.9551,107.838,284.503,-0.26812,Sex,64.185653,157.5808554,-2.9696976,,,239.288165,50.823095,,0.0,0.641,0.227,0.664,0.146,-15.571,0.3043646,0.68,656.8914,2.28e-05,1.1,3.98,0.004382,164.8855,,4.6306,159.9028,-2.8113,24.5,12.5
133,ztf_20180422291331_000377_zr_c07_o_q3_sciimg,58230.2916551111,zr,30,229.317461175409,-11.3926219620746,377,ZTF,CTIO,,382P/Larson,1999-Apr-06 07:37:31,2451274.817719907,7.1,13.4,14.0,5.0,0.03,,,158.102984501,6.000359053,158.09416155,6.002912495,-9.23559,5.335602,,,,,512736.732,-1134.5,72.125,,999,,23.545,22.081,99.82889,,508867.6,*,,,,,,287.98,0.0,,,162.257012,-2.642984,7.558745536755,0.9201555,6.7515197536498,18.2823684,56.15067759,9.3047643,23.3384087,141.3521,/T,4.7369,97.8,75.7577,33.8956,107.984,284.496,-0.28721,Sex,64.185652,157.5094989,-2.9594369,,,239.183597,50.794424,,0.0,0.64,0.227,0.663,0.146,-15.562,0.3032357,0.679,661.0359,2.28e-05,1.08,3.92,0.00441,164.9257,,4.7414,159.8873,-2.8036,24.5,12.5
134,ztf_20180422355451_000377_zg_c07_o_q3_sciimg,58230.3556481111,zg,30,229.311336512034,-11.3902168918244,377,ZTF,CTIO,,382P/Larson,1999-Apr-07 07:37:31,2451275.817719907,7.1,13.4,14.0,5.0,0.03,,,158.041919684,6.035630299,158.033069382,6.038184144,-8.98392,5.245029,,,,,508863.358,-2366.68,72.107,,999,,23.549,22.088,99.82093,,505090.0,*,,,,,,288.12,0.0,,,162.297243,-2.637734,7.559276243679,0.9177502,6.76219620561326,18.6882016,56.23947093,9.3038907,23.4534266,140.3028,/T,4.8461,109.7,67.2201,34.8357,108.123,284.49,-0.30615,Sex,64.185651,157.4399183,-2.9491038,,,239.081474,50.766647,,0.0,0.639,0.226,0.662,0.145,-15.553,0.3020918,0.678,665.1393,2.28e-05,1.06,3.85,0.004437,164.966,,4.8506,159.8726,-2.7959,24.5,12.5
135,ztf_20180428287095_000377_zg_c08_o_q4_sciimg,58236.2873264109,zg,30,228.726586369294,-11.1671697040356,377,ZTF,CTIO,,382P/Larson,1999-Apr-08 07:37:31,2451276.817719907,7.1,13.4,14.0,5.0,0.03,,,157.982552372,6.0702909,157.973676947,6.072845905,-8.728,5.152446,,,,,504977.999,-3594.27,72.102,,999,,23.553,22.095,99.81292,,501319.9,*,,,,,,288.25,0.0,,,162.337468,-2.632483,7.559805560778,0.9153448,6.77310516731183,19.0875072,56.330198,9.3030193,23.5704134,139.2555,/T,4.9535,121.8,57.9353,35.7756,108.255,284.483,-0.32494,Sex,64.18565,157.3721423,-2.9387012,,,238.981832,50.739785,,0.0,0.638,0.226,0.661,0.145,-15.544,0.3009336,0.677,669.1986,2.28e-05,1.04,3.78,0.004464,165.0062,,4.9579,159.8589,-2.7882,24.5,12.5
136,ztf_20180429334745_000377_zg_c08_o_q4_sciimg,58237.3349537109,zg,30,228.62000098306,-11.1279115930948,377,ZTF,CTIO,,382P/Larson,1999-Apr-09 07:37:31,2451277.817719907,7.1,13.4,14.0,5.0,0.03,,,157.924910931,6.104327603,157.916009458,6.106885932,-8.46794,5.057898,,,,,501081.331,-4816.98,72.109,,999,,23.557,22.102,99.80488,,497557.5,*,,,,,,288.37,0.0,,,162.377688,-2.627232,7.560333487994,0.9129392,6.78424283296275,19.4801597,56.42282714,9.3021502,23.6892607,138.2104,/T,5.0591,134.0,48.1581,36.7152,108.381,284.477,-0.34355,Sex,64.185648,157.3061984,-2.928232,,,238.884702,50.713858,,0.0,0.637,0.225,0.66,0.145,-15.535,0.2997619,0.676,673.211,2.28e-05,1.02,3.71,0.004491,165.0464,,5.0634,159.846,-2.7804,24.5,12.5
137,ztf_20180429418356_000377_zg_c08_o_q4_sciimg,58237.4185417113,zg,30,228.61145411002,-11.1247840087467,377,ZTF,CTIO,,382P/Larson,1999-Apr-10 07:37:31,2451278.817719907,7.1,13.4,14.0,5.0,0.03,,,157.869023067,6.137727461,157.860091105,6.140292574,-8.20384,4.96143,,,,,497174.046,-6034.5,72.128,,999,,23.561,22.109,99.79681,,493802.9,*,,,,,,288.49,0.0,,,162.417901,-2.62198,7.560860025269,0.9105336,6.79560532103066,19.8660213,56.51732607,9.3012835,23.8098482,137.1675,/T,5.1629,146.6,38.1901,37.6544,108.501,284.471,-0.36199,Sex,64.185646,157.2421128,-2.9176992,,,238.790118,50.688887,,0.0,0.636,0.225,0.659,0.144,-15.527,0.2985774,0.674,677.1733,2.28e-05,1.0,3.64,0.004518,165.0867,,5.1671,159.8341,-2.7727,24.5,12.5
