,Image,MJD,Filter,Exptime,Object_RA,Object_Dec,Image_target,Telescope/Instrument,MetaData,Datalink,Date,RA,DEC,Dobs,Dhelio,VMag,Phase,Elong.,dRAcosDEC,dDEC,RV,Tmag,Limiting,Saturation
59,rings.v3.skycell.1727.071.wrp.g.56007_63072,56007.6313604426,g,43,206.580458759152,19.1768961925927,1727.071,Pan-STARRS1,,,2456008.13136,+13:46:19.5512,+19:10:36.879,6.630591595590688,7.495910474672513,19.959644743353195,4.014963115170957,148.21334840382292,-0.1470931232080493,0.1335819698383965,-0.3317927465480834,20.064,21.5,14.5
60,rings.v3.skycell.1727.082.wrp.g.56013_58209,56013.5827453426,g,43,206.189866715253,19.4795573102616,1727.082,Pan-STARRS1,,,2456014.082745,+13:44:45.8059,+19:28:46.588,6.634131164248964,7.518859642979677,19.96860042651493,3.747674565186661,150.50030600985895,-0.1618431505006798,0.1203003681920712,2.4006326291094924,20.066427855840505,21.5,14.5
61,rings.v3.skycell.1727.082.wrp.g.56013_59248,56013.5931210426,g,43,206.189155115162,19.4800573613586,1727.082,Pan-STARRS1,,,2456014.093121,+13:44:45.6349,+19:28:48.385,6.634145564436087,7.518899755120792,19.96862143788649,3.747311782287456,150.5033610687297,-0.1618650596687975,0.1202750491991431,2.405437036414458,20.066438231540502,21.5,14.5
62,rings.v3.skycell.1727.082.wrp.g.56013_59323,56013.5938768426,g,43,206.189103279878,19.4800937867197,1727.082,Pan-STARRS1,,,2456014.093877,+13:44:45.6225,+19:28:48.516,6.634146614764975,7.518902677721791,19.968622969521142,3.747285365113468,150.50358352607765,-0.1618666554543826,0.1202732041705891,2.4057870909623884,20.0664389873405,21.5,14.5
63,rings.v3.skycell.1727.093.wrp.r.56018_55038,56018.5510108815,r,40,205.838528752304,19.7060698848734,1727.093,Pan-STARRS1,,,2456019.051011,+13:43:21.4720,+19:42:22.050,6.644325980205493,7.538106198277017,19.98082057205116,3.621386584322908,151.54941456477016,-0.1707907734025985,0.1074164593427591,4.706364352606468,20.07,21.5,14.5
64,rings.v3.skycell.1727.093.wrp.i.56019_55801,56019.5586698167,i,45,205.765082325078,19.7488064653724,1727.093,Pan-STARRS1,,,2456020.05867,+13:43:03.8451,+19:44:55.902,6.647200967260934,7.542019485591173,19.983826342147225,3.607968598603154,151.65696039738486,-0.172229684372786,0.1046321461769087,5.173956041610761,20.070403780314606,21.5,14.5
65,rings.v3.skycell.1727.093.wrp.i.56019_56950,56019.5701622167,i,45,205.764241464478,19.7492881884724,1727.093,Pan-STARRS1,,,2456020.070162,+13:43:03.6432,+19:44:57.633,6.647235324664164,7.542064134084011,19.98386164448132,3.607840161248324,151.65797632431477,-0.1722453730636361,0.1046000886911453,5.179286254715911,20.07041527271461,21.5,14.5
66,rings.v3.skycell.1727.093.wrp.i.56019_57700,56019.5776626167,i,45,205.763692685212,19.7496025802389,1727.093,Pan-STARRS1,,,2456020.077663,+13:43:03.5114,+19:44:58.763,6.647257769335919,7.5420932770510545,19.983884699271112,3.607756628495316,151.65863686571646,-0.1722556045650855,0.1045791606623022,5.182765329790021,20.070422773114604,21.5,14.5
80,rings.v3.skycell.1644.020.wrp.g.56421_46370,56421.4643665426,g,43,222.788695110265,13.1931019044596,1644.020,Pan-STARRS1,,,2456421.964367,+14:51:09.5501,+13:11:34.736,8.412278790171838,9.293831745005292,21.46011060032211,3.1895416781720227,149.19155996167822,-0.174211951912534,0.0222098438947243,13.30315844562307,21.428618954081003,21.5,14.5
81,rings.v3.skycell.1644.030.wrp.g.56421_46370,56421.4643665426,g,43,222.788695110265,13.1931019044596,1644.030,Pan-STARRS1,,,2456421.964367,+14:51:09.5501,+13:11:34.736,8.412278790171838,9.293831745005292,21.46011060032211,3.1895416781720227,149.19155996167822,-0.174211951912534,0.0222098438947243,13.30315844562307,21.428618954081003,21.5,14.5
