,Image,MJD,Filter,Exptime,Object_RA,Object_Dec,Image_target,Telescope/Instrument,MetaData,Datalink,Date,RA,DEC,Dobs,Dhelio,VMag,Phase,Elong.,dRAcosDEC,dDEC,RV,Tmag,Limiting,Saturation
229,c4d_160526_055738_ori.fits.fz 410fa6ff0a295f2205a9b09620a2ad3a,57534.2472337072,z,100,249.543159681216,0.545896889697303,SDSS_J163800,CTIO-4m/DECam,https://astroarchive.noirlab.edu/api/retrieve/410fa6ff0a295f2205a9b09620a2ad3a,,2457534.747234,+16:38:10.6563,+00:32:43.934,13.79219555041882,14.73289487573375,24.607774511095137,1.51179400821029,157.43898867829665,-0.1348790963073329,0.0119179414481116,6.877814219079037,19.978804579606454,23.7,16.0
230,c4d_160526_055738_oki_z_v1.fits.fz 51aa49ec8d05747ad2292f7df179ecec,57534.2472337072,z,100,249.543159681216,0.545896889697303,SDSS_J163800,CTIO-4m/DECam,https://astroarchive.noirlab.edu/api/retrieve/51aa49ec8d05747ad2292f7df179ecec,,2457534.747234,+16:38:10.6563,+00:32:43.934,13.79219555041882,14.73289487573375,24.607774511095137,1.51179400821029,157.43898867829665,-0.1348790963073329,0.0119179414481116,6.877814219079037,19.978804579606454,23.7,16.0
231,c4d_160526_055738_ooi_z_v1.fits.fz 2b6819716401d5d42b663a0c282c85fa,57534.2472337072,z,100,249.543159681216,0.545896889697303,SDSS_J163800,CTIO-4m/DECam,https://astroarchive.noirlab.edu/api/retrieve/2b6819716401d5d42b663a0c282c85fa,,2457534.747234,+16:38:10.6563,+00:32:43.934,13.79219555041882,14.73289487573375,24.607774511095137,1.51179400821029,157.43898867829665,-0.1348790963073329,0.0119179414481116,6.877814219079037,19.978804579606454,23.7,16.0
232,c4d_160526_055738_opi_z_v1.fits.fz b19e67b05ccfe56daf3767a328c03602,57534.2472337072,z,100,249.543159681216,0.545896889697303,SDSS_J163800,CTIO-4m/DECam,https://astroarchive.noirlab.edu/api/retrieve/b19e67b05ccfe56daf3767a328c03602,,2457534.747234,+16:38:10.6563,+00:32:43.934,13.79219555041882,14.73289487573375,24.607774511095137,1.51179400821029,157.43898867829665,-0.1348790963073329,0.0119179414481116,6.877814219079037,19.978804579606454,23.7,16.0
233,c4d_160526_055738_ooi_z_ls10.fits.fz 0de814190d242030fe0522c89fce91af,57534.2472337072,z,100,249.543159681216,0.545896889697303,SDSS_J163800,CTIO-4m/DECam,https://astroarchive.noirlab.edu/api/retrieve/0de814190d242030fe0522c89fce91af,,2457534.747234,+16:38:10.6563,+00:32:43.934,13.79219555041882,14.73289487573375,24.607774511095137,1.51179400821029,157.43898867829665,-0.1348790963073329,0.0119179414481116,6.877814219079037,19.978804579606454,23.7,16.0
234,c4d_160526_055948_ori.fits.fz ec75770c220cbb8772ecb16998a88d12,57534.248710937,g,100,249.543079972358,0.545903742402184,SDSS_J163800,CTIO-4m/DECam,https://astroarchive.noirlab.edu/api/retrieve/ec75770c220cbb8772ecb16998a88d12,,2457534.748711,+16:38:10.6371,+00:32:43.959,13.79220141759983,14.732902063239443,24.607777417939328,1.5117829419480977,157.43915756128916,-0.1348794497105054,0.0119163017631319,6.878520441363828,19.978792761768098,24.0,16.0
235,c4d_160526_055948_oki_g_v1.fits.fz 809374162e9e309ecf1a734b1aee48e9,57534.248710937,g,100,249.543079972358,0.545903742402184,SDSS_J163800,CTIO-4m/DECam,https://astroarchive.noirlab.edu/api/retrieve/809374162e9e309ecf1a734b1aee48e9,,2457534.748711,+16:38:10.6371,+00:32:43.959,13.79220141759983,14.732902063239443,24.607777417939328,1.5117829419480977,157.43915756128916,-0.1348794497105054,0.0119163017631319,6.878520441363828,19.978792761768098,24.0,16.0
236,c4d_160526_055948_ooi_g_v1.fits.fz a38cab270af2986b883c52b3ffc23266,57534.248710937,g,100,249.543079972358,0.545903742402184,SDSS_J163800,CTIO-4m/DECam,https://astroarchive.noirlab.edu/api/retrieve/a38cab270af2986b883c52b3ffc23266,,2457534.748711,+16:38:10.6371,+00:32:43.959,13.79220141759983,14.732902063239443,24.607777417939328,1.5117829419480977,157.43915756128916,-0.1348794497105054,0.0119163017631319,6.878520441363828,19.978792761768098,24.0,16.0
237,c4d_160526_055948_opi_g_v1.fits.fz 03b6f16e66f551ab997bc2851f4f14a9,57534.248710937,g,100,249.543079972358,0.545903742402184,SDSS_J163800,CTIO-4m/DECam,https://astroarchive.noirlab.edu/api/retrieve/03b6f16e66f551ab997bc2851f4f14a9,,2457534.748711,+16:38:10.6371,+00:32:43.959,13.79220141759983,14.732902063239443,24.607777417939328,1.5117829419480977,157.43915756128916,-0.1348794497105054,0.0119163017631319,6.878520441363828,19.978792761768098,24.0,16.0
238,c4d_160526_055948_ooi_g_ls10.fits.fz ae8adf6fd4831a4b072b28cd2cd6cd05,57534.248710937,g,100,249.543079972358,0.545903742402184,SDSS_J163800,CTIO-4m/DECam,https://astroarchive.noirlab.edu/api/retrieve/ae8adf6fd4831a4b072b28cd2cd6cd05,,2457534.748711,+16:38:10.6371,+00:32:43.959,13.79220141759983,14.732902063239443,24.607777417939328,1.5117829419480977,157.43915756128916,-0.1348794497105054,0.0119163017631319,6.878520441363828,19.978792761768098,24.0,16.0
