Date,RA,DEC,Dobs,Dhelio,VMag,Phase,Elong.,dRAcosDEC,dDEC,RV
2450313.099491,+23:57:39.8754,-00:51:55.126,28.12801219550597,28.971566932376298,29.831250340582873,1.1232617282927768,145.87275308854785,-0.07000559215610885,-0.030729385860785625,-23.908289464054366
2450313.115023,+23:57:39.7710,-00:51:55.814,28.127797751106826,28.971498277474634,29.83121208457824,1.1228150228202742,145.88816729922254,-0.07001848486448418,-0.03073476693001448,-23.90161325738818
2450313.123426,+23:57:39.7145,-00:51:56.185,28.12768175905892,28.971461134309425,29.831191391358978,1.1225733136637093,145.89650664153007,-0.07002545790394361,-0.030737677250300476,-23.898000810092636
2450721.092326,+23:49:18.6751,-01:45:02.194,26.15169168628485,27.139606405410476,29.37301560002416,0.3551570337607087,170.3310813496529,-0.09005977958086599,-0.03866650051301859,-2.4201380708553013
2450721.102141,+23:49:18.5902,-01:45:02.740,26.151677981684806,27.13956161412582,29.37300974032826,0.35552095306786374,170.3210676850736,-0.09005751567201185,-0.03866533632555294,-2.414971238527963
2450721.11162,+23:49:18.5082,-01:45:03.268,26.151664774040846,27.13951835616044,29.373004085836683,0.3558724058345697,170.31139674569144,-0.09005532652914577,-0.03866421082690806,-2.409981397321133
2450747.816076,+23:45:43.9824,-02:07:54.211,26.21783416834944,27.01751823079091,29.374195387560185,1.271173740510479,142.9185037334024,-0.07414015224581137,-0.03132087785720396,10.551816648618136
2450747.825752,+23:45:43.9135,-02:07:54.648,26.217893148839714,27.01747397732995,29.3742016008032,1.2714650204398248,142.90854137413473,-0.07413113459683392,-0.031316832265165205,10.555974262415404
2450747.836285,+23:45:43.8385,-02:07:55.123,26.217957379627347,27.01742580431175,29.374208368691605,1.2717820554196377,142.8976966301166,-0.07412131566260703,-0.031312427277656533,10.560499518699638
2450811.700718,+23:42:18.5775,-02:28:33.439,26.921484388731827,26.724562264621607,29.465543024139805,2.0581738901105284,77.4213385878048,0.012709123001966244,0.006539072624111673,21.663355051737312
2450811.710822,+23:42:18.5899,-02:28:33.344,26.921610806197116,26.724515806072755,29.46555964268383,2.0580947323801433,77.41109576022009,0.012723839679466,0.006545378183857891,21.662182778081892
2450811.721412,+23:42:18.6028,-02:28:33.244,26.92174329696047,26.724467112838187,29.465577059276747,2.0580116976622898,77.40036031775654,0.01273926339232447,0.006551986655814543,21.66095305046865
2453913.04235,+23:06:27.3942,-05:46:02.742,9.030102241083215,9.414527801219856,22.455919386589922,5.850371725497298,109.26443727157906,-0.11192250338115174,-0.04574534392258584,-40.93763062405727
2453913.043773,+23:06:27.3788,-05:46:02.836,9.030068595043975,9.414517270683966,22.45590077592351,5.8503275418329785,109.26586372964951,-0.11192898974793669,-0.04574804403109798,-40.9373882139956
2454307.926271,+22:24:07.8140,-09:40:03.671,5.3666025518029805,6.25676774825873,19.308744499365513,4.837102626000077,148.70433357675088,-0.45035966604053357,-0.1707337511643511,-30.76477878592447
2454694.709076,+18:14:24.7225,-21:39:57.619,1.6620028383496455,2.4370558008646697,12.170644977657698,18.63150315445037,129.74070113262977,-2.1241393178023302,-0.07036961464310791,10.747924014872376
2454694.715813,+18:14:23.2444,-21:39:58.302,1.6620446709853398,2.436981368271616,12.17068796611236,18.6354861454434,129.72850965056534,-2.1239161783792624,-0.07028178772170855,10.753779487338926
2454694.725729,+18:14:21.0690,-21:39:59.304,1.6621062846958126,2.4368718130339366,12.170751339176666,18.64134729816543,129.7105664268838,-2.1235876284232678,-0.07015256029163867,10.762395538335188
