Date,RA,DEC,Dobs,Dhelio,VMag,Phase,Elong.,dRAcosDEC,dDEC,RV
2455274.046661,+17:53:58.3500,+22:18:33.526,4.675646950613357,4.776672135444497,16.034044274102314,12.027175314105763,89.77964569177443,0.30106980413790635,0.5667145089225986,-22.165037251339626
2455274.046661,+17:53:58.3500,+22:18:33.526,4.675646950613357,4.776672135444497,16.034044274102314,12.027175314105763,89.77964569177443,0.30106980413790635,0.5667145089225986,-22.165037251339626
2455274.046667,+17:53:58.3502,+22:18:33.531,4.675646873804175,4.776672119669501,16.034044195587292,12.027175377389606,89.77964916215343,0.30106976231561494,0.5667145268969541,-22.165036415443932
2455274.046667,+17:53:58.3502,+22:18:33.531,4.675646873804175,4.776672119669501,16.034044195587292,12.027175377389606,89.77964916215343,0.30106976231561494,0.5667145268969541,-22.165036415443932
2455274.046788,+17:53:58.3540,+22:18:33.630,4.6756453248283725,4.776671801542189,16.034042612210243,12.027176653596834,89.77971914770353,0.30106891890377435,0.5667148893769859,-22.165019558274427
2455274.046788,+17:53:58.3540,+22:18:33.630,4.6756453248283725,4.776671801542189,16.034042612210243,12.027176653596834,89.77971914770353,0.30106891890377435,0.5667148893769859,-22.165019558274427
2455274.046794,+17:53:58.3542,+22:18:33.635,4.675645248019242,4.776671785767193,16.034042533695246,12.027176716879755,89.7797226180802,0.3010688770814338,0.5667149073512694,-22.16501872237505
2455274.046794,+17:53:58.3542,+22:18:33.635,4.675645248019242,4.776671785767193,16.034042533695246,12.027176716879755,89.7797226180802,0.3010688770814338,0.5667149073512694,-22.16501872237505
2455274.179092,+17:54:02.4817,+22:20:21.639,4.673952350473691,4.776324056216398,16.032311727893045,12.028561039164815,89.85621588462844,0.3001461489357247,0.5671103827750509,-22.14654549736767
2455274.179092,+17:54:02.4817,+22:20:21.639,4.673952350473691,4.776324056216398,16.032311727893045,12.028561039164815,89.85621588462844,0.3001461489357247,0.5671103827750509,-22.14654549736767
2455274.179098,+17:54:02.4819,+22:20:21.644,4.6739522737285855,4.776324040450598,16.032311649415348,12.028561101447165,89.85621935257302,0.3001461070620493,0.5671104006723294,-22.146544657654466
2455274.179098,+17:54:02.4819,+22:20:21.644,4.6739522737285855,4.776324040450598,16.032311649415348,12.028561101447165,89.85621935257302,0.3001461070620493,0.5671104006723294,-22.146544657654466
2455274.311397,+17:54:06.5977,+22:22:09.725,4.672260778226562,4.775976510682063,16.030581656394233,12.029923392383267,89.93265942327511,0.29922224413186016,0.5675041787087477,-22.127987264566055
2455274.311397,+17:54:06.5977,+22:22:09.725,4.672260778226562,4.775976510682063,16.030581656394233,12.029923392383267,89.93265942327511,0.29922224413186016,0.5675041787087477,-22.127987264566055
2455274.311402,+17:54:06.5978,+22:22:09.729,4.672260714328875,4.7759764975521435,16.030581591030536,12.029923443450619,89.93266231105635,0.29922220919629205,0.5675041935581003,-22.127986561664468
2455274.311402,+17:54:06.5978,+22:22:09.729,4.672260714328875,4.7759764975521435,16.030581591030536,12.029923443450619,89.93266231105635,0.29922220919629205,0.5675041935581003,-22.127986561664468
2455274.443701,+17:54:10.7018,+22:23:57.885,4.670570640091006,4.775629170257361,16.028852430912234,12.03126373167271,90.00904834638742,0.2982972262972679,0.5678962663033492,-22.10934529240883
