Date,RA,DEC,Dobs,Dhelio,VMag,Phase,Elong.,dRAcosDEC,dDEC,RV
2455221.65489,+13:50:37.3225,-26:51:36.800,5.820640813148651,5.896890304667186,17.78282324667071,9.61009778642675,89.62148930210937,0.15143288838121563,0.055039091822101954,-26.843490264696158
2455221.65489,+13:50:37.3225,-26:51:36.800,5.820640813148651,5.896890304667186,17.78282324667071,9.61009778642675,89.62148930210937,0.15143288838121563,0.055039091822101954,-26.843490264696158
2455221.654895,+13:50:37.3226,-26:51:36.800,5.820640735628025,5.896890307681829,17.782823189940494,9.610097791666185,89.62149398185848,0.15143285749196686,0.05503910724615269,-26.84349027734191
2455221.654895,+13:50:37.3226,-26:51:36.800,5.820640735628025,5.896890307681829,17.782823189940494,9.610097791666185,89.62149398185848,0.15143285749196686,0.05503910724615269,-26.84349027734191
2455221.787194,+13:50:39.4729,-26:51:26.273,5.818589655235793,5.896970142805741,17.781321949407598,9.610214114370661,89.7453371688447,0.1506153222952827,0.05544756118874577,-26.84375747729075
2455221.787194,+13:50:39.4729,-26:51:26.273,5.818589655235793,5.896970142805741,17.781321949407598,9.610214114370661,89.7453371688447,0.1506153222952827,0.05544756118874577,-26.84375747729075
2455221.7872,+13:50:39.4730,-26:51:26.272,5.818589562214441,5.8969701464297355,17.781321881311754,9.610214118634326,89.74534278651957,0.15061528520670683,0.05544757972927747,-26.84375748635446
2455221.7872,+13:50:39.4730,-26:51:26.272,5.818589562214441,5.8969701464297355,17.781321881311754,9.610214118634326,89.74534278651957,0.15061528520670683,0.05544757972927747,-26.84375748635446
2455221.787321,+13:50:39.4750,-26:51:26.262,5.818587686301835,5.896970219512975,17.781320508058442,9.610214204596595,89.74545607522833,0.15061453726072424,0.05544795362670437,-26.84375766907846
2455221.787321,+13:50:39.4750,-26:51:26.262,5.818587686301835,5.896970219512975,17.781320508058442,9.610214204596595,89.74545607522833,0.15061453726072424,0.05544795362670437,-26.84375766907846
