Image,MJD,Filter,Exptime,Object_RA,Object_Dec,Image_target,Telescope/Instrument,MetaData,Datalink
07076a136-w2-int-1b,55413.5996156863,w2,8,41.3578732385622,9.47842565337703,07076a136,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/6a/07076a/136/07076a136-w2-int-1b.fits,
07076a136-w3-int-1b,55413.5996214733,w3,9,41.3578732650859,9.47842568536631,07076a136,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/6a/07076a/136/07076a136-w3-int-1b.fits,
07076a136-w4-int-1b,55413.5996214733,w4,9,41.3578732650859,9.47842568536631,07076a136,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/6a/07076a/136/07076a136-w4-int-1b.fits,
07077b161-w1-int-1b,55413.6657039663,w1,8,41.3581761431788,9.47879097470259,07077b161,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/7b/07077b/161/07077b161-w1-int-1b.fits,
07077b161-w2-int-1b,55413.6657039663,w2,8,41.3581761431788,9.47879097470259,07077b161,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/7b/07077b/161/07077b161-w2-int-1b.fits,
07077b161-w3-int-1b,55413.6657097533,w3,9,41.3581761697026,9.47879100669187,07077b161,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/7b/07077b/161/07077b161-w3-int-1b.fits,
07077b161-w4-int-1b,55413.6657097533,w4,9,41.3581761697026,9.47879100669187,07077b161,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/7b/07077b/161/07077b161-w4-int-1b.fits,
07080a135-w1-int-1b,55413.7317922063,w1,8,41.3584790476122,9.47915629580705,07080a135,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/0a/07080a/135/07080a135-w1-int-1b.fits,
07080a135-w2-int-1b,55413.7317922063,w2,8,41.3584790476122,9.47915629580705,07080a135,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/0a/07080a/135/07080a135-w2-int-1b.fits,
07080a135-w3-int-1b,55413.7317979933,w3,9,41.3584790741359,9.47915632779629,07080a135,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/0a/07080a/135/07080a135-w3-int-1b.fits,
07080a135-w4-int-1b,55413.7317979933,w4,9,41.3584790741359,9.47915632779629,07080a135,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/0a/07080a/135/07080a135-w4-int-1b.fits,
07080a136-w1-int-1b,55413.7319195763,w1,8,41.3584796313913,9.47915699988009,07080a136,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/0a/07080a/136/07080a136-w1-int-1b.fits,
07080a136-w2-int-1b,55413.7319195763,w2,8,41.3584796313913,9.47915699988009,07080a136,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/0a/07080a/136/07080a136-w2-int-1b.fits,
07080a136-w3-int-1b,55413.7319253633,w3,9,41.3584796579151,9.47915703186937,07080a136,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/0a/07080a/136/07080a136-w3-int-1b.fits,
07080a136-w4-int-1b,55413.7319253633,w4,9,41.3584796579151,9.47915703186937,07080a136,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/0a/07080a/136/07080a136-w4-int-1b.fits,
