Date,RA,DEC,Dobs,Dhelio,VMag,Phase,Elong.,dRAcosDEC,dDEC,RV
2451464.702426,+21:59:07.4994,+00:41:01.353,2.944410806029155,3.682481582634087,18.530686946608796,11.705601195516895,131.52135550510818,-0.1539916671624165,-0.12527290266009986,14.266178782969623
2451464.703255,+21:59:07.4872,+00:41:01.203,2.944417636731788,3.6824792719230346,18.530695659169545,11.70576073350356,131.52051083298286,-0.15398222049194732,-0.12527084556884835,14.26643897177733
2451464.704084,+21:59:07.4749,+00:41:01.054,2.944424467558992,3.682476961210225,18.53070437188877,11.705920268824721,131.5196661625242,-0.1539727737668818,-0.12526878840771558,14.26669915494406
2451464.704914,+21:59:07.4626,+00:41:00.904,2.9444313067489922,3.6824746477089474,18.530713095274333,11.706079993875177,131.5188204750616,-0.1539633155943704,-0.1252667286956369,14.266959646241045
2451464.705743,+21:59:07.4504,+00:41:00.755,2.944438137825521,3.6824723369926504,18.53072180831076,11.706239523862044,131.5179758079377,-0.1539538687600632,-0.12526467139465877,14.2672198181195
2451467.754156,+21:58:27.5043,+00:32:08.111,2.9703774941703975,3.6739635377716025,18.563790666057866,12.274532966510716,128.42393244722405,-0.11889991732751053,-0.117246398816868,15.185670955788913
2451467.754986,+21:58:27.4949,+00:32:07.971,2.97038477389335,3.673961217860275,18.563799938450604,12.274682629097619,128.4230934643047,-0.11889030118933325,-0.11724409759306982,15.18591059521453
2451467.755815,+21:58:27.4854,+00:32:07.831,2.970392044962161,3.673958900741643,18.563809199813967,12.274832108616254,128.4222554939414,-0.11888069660267092,-0.1172417990799487,15.186149940315932
2451467.756644,+21:58:27.4759,+00:32:07.691,2.970399316145597,3.673956583621298,18.56381846131702,12.274981585344486,128.42141752553545,-0.11887109198442596,-0.11723950050559749,15.186389279754568
2451467.757473,+21:58:27.4665,+00:32:07.551,2.970406587443626,3.6739542664992237,18.563827722959708,12.275131059281964,128.420579559088,-0.11886148733461484,-0.11723720187002457,15.186628613530072
2451467.79289,+21:58:27.0630,+00:32:01.574,2.970717342873813,3.6738552715063197,18.564223534357453,12.281514361194366,128.38478132036497,-0.11845112274200076,-0.11713894113538548,15.196848275171694
2451467.793719,+21:58:27.0535,+00:32:01.434,2.970724619179564,3.6738529543086518,18.56423280210045,12.281663713088788,128.3839434396103,-0.11844151671780556,-0.11713663982533133,15.197087361349174
2451467.794548,+21:58:27.0441,+00:32:01.294,2.9707318955998168,3.6738506371092714,18.564242069982907,12.281813062191276,128.38310556081612,-0.11843191066229941,-0.11713433845415565,15.197326441864242
2451467.795378,+21:58:27.0347,+00:32:01.154,2.9707391809101167,3.673848317113614,18.564251349182094,12.281962588611876,128.38226667350443,-0.11842229299052835,-0.11713203424630007,15.19756580503758
2451467.796207,+21:58:27.0253,+00:32:01.014,2.9707464575594416,3.6738459999107707,18.564260617343514,12.282111932127057,128.3814287986358,-0.11841268687240374,-0.11712973275282595,15.197804874220331
2453532.836016,+20:40:00.7178,-15:33:54.008,3.8340963413659885,4.576899257365318,20.149486980405907,9.48023525812745,132.06394824313819,-0.181452249625255,0.025517130470223817,-21.95924440137984
2453532.83643,+20:40:00.7103,-15:33:53.993,3.834091090810298,4.576898768443144,20.149480801044763,9.480173033004222,132.06437066636892,-0.18145585372906656,0.025516255801054544,-21.959111008200633
2453532.836845,+20:40:00.7028,-15:33:53.978,3.8340858276128893,4.576898278340116,20.149474606795685,9.480110657064083,132.06479410978392,-0.18145946652071257,0.025515379022677295,-21.958977291762096
2453532.83726,+20:40:00.6953,-15:33:53.963,3.8340805644416247,4.576897788235842,20.14946841256742,9.480048280434842,132.0652175542189,-0.1814630793046892,0.025514502245376897,-21.95884357389553
2453532.837674,+20:40:00.6878,-15:33:53.947,3.834075313987679,4.576897299312134,20.149462233296255,9.479986053529696,132.06563997860428,-0.18146668336939623,0.025513627583351448,-21.95871017704447
2453532.838089,+20:40:00.6803,-15:33:53.932,3.8340700508804404,4.576896809206467,20.149456039123457,9.479923675663505,132.06606342412752,-0.18147029612995322,0.02551275081016771,-21.958576456625075
2453532.838504,+20:40:00.6728,-15:33:53.917,3.834064787805247,4.576896319100095,20.149449844978413,9.479861297177965,132.06648687019546,-0.1814739088787858,0.025511874039045288,-21.95844273492773
2453532.838918,+20:40:00.6653,-15:33:53.902,3.8340595374471462,4.576895830174301,20.14944366579028,9.479799068421121,132.06690929620999,-0.18147751290843225,0.02551099938318246,-21.95830933425512
2453532.839333,+20:40:00.6578,-15:33:53.886,3.8340542744359785,4.576895340066535,20.149437471700697,9.479736688698633,132.06733274336622,-0.18148112563384297,0.025510122616177983,-21.958175610004997
2453532.839748,+20:40:00.6503,-15:33:53.871,3.834049011462768,4.576894849958621,20.149431277645835,9.479674308427015,132.06775619058513,-0.18148473834347387,0.025509245852218355,-21.95804188462699
2453535.905848,+20:39:01.1637,-15:32:15.416,3.7960602893734476,4.573254771797165,20.104457994137768,9.002045275523525,135.210948252249,-0.20782810591081788,0.019096121516342632,-20.935873204878142
2453535.906678,+20:39:01.1465,-15:32:15.393,3.79605025350982,4.573253781259712,20.104446042101824,9.00191148880201,135.21180304195366,-0.20783513544069662,0.01909440515575003,-20.93558744420153
2453535.907507,+20:39:01.1294,-15:32:15.370,3.79604022987161,4.573252791912631,20.104434104587398,9.00177786083125,135.21265680411238,-0.2078421564443038,0.019092690874389768,-20.935302022953287
2453535.908336,+20:39:01.1122,-15:32:15.347,3.796030206370056,4.573251802562755,20.104422167197605,9.001644230460494,135.21351056835755,-0.20784917738906525,0.01909097660482188,-20.935016596924545
2453535.909165,+20:39:01.0950,-15:32:15.325,3.796020183005161,4.5732508132101,20.10441022993246,9.001510597689352,135.2143643346907,-0.20785619827498988,0.019089262347043164,-20.934731166114844
2453996.907652,+22:38:34.6408,+06:19:46.192,2.648731239165401,3.617898582928196,18.032660879104704,4.914224240304695,162.0355573315193,-0.42338833617195787,-0.15829468718026468,0.6454076446226905
2453996.909944,+22:38:34.5471,+06:19:45.670,2.6487320942793766,3.6178921054755477,18.032658393388928,4.914680537399473,162.0338584684974,-0.42337822398068653,-0.15829991457262912,0.6465340450541142
2453996.942867,+22:38:33.2009,+06:19:38.163,2.6487445419325817,3.6177990600674454,18.03262295598538,4.921240959015544,162.00943149337851,-0.4232327469933886,-0.1583749027292743,0.6627127281288937
2453996.978153,+22:38:31.7587,+06:19:30.114,2.6487582245214223,3.6176993338146146,18.03258553179154,4.928284716977223,161.98320167549483,-0.42307636714491664,-0.1584550659300474,0.6800499429216426
2453997.848398,+22:37:56.3652,+06:16:10.335,2.6492073297317527,3.6152389586236886,18.03184452168319,5.105896859271137,161.3207001544794,-0.4190690658869671,-0.1603638671324921,1.1067125088673604
2453997.85025,+22:37:56.2902,+06:16:09.907,2.649208514000063,3.6152337208394623,18.031843317051027,5.106282458994343,161.31925952191287,-0.41906023031064726,-0.16036778867653748,1.1076185346534557
2453997.891618,+22:37:54.6164,+06:16:00.351,2.6492352194911772,3.6151167228570515,18.031816820721147,5.114903607655505,161.28704753597785,-0.41886253155147934,-0.16045522738854903,1.1278540913557829
2453997.896551,+22:37:54.4168,+06:15:59.212,2.6492384362971877,3.615102770976492,18.031813713676993,5.115932675454828,161.28320219560578,-0.41883891330458184,-0.16046563416781404,1.130266824197164
2453997.900596,+22:37:54.2532,+06:15:58.277,2.6492410791681342,3.615091330565048,18.031811174294482,5.116776660823908,161.28004840264015,-0.4188195397457724,-0.1604741644181799,1.1322451891633907
2453997.902446,+22:37:54.1784,+06:15:57.849,2.6492422894381535,3.615086098225939,18.03181001540484,5.117162710311487,161.2786058019215,-0.4188106770881422,-0.1604780648136972,1.133149989916738
2453997.924925,+22:37:53.2693,+06:15:52.654,2.6492570724375915,3.6150225204693123,18.03179605977918,5.121855963917031,161.26106710052454,-0.41870288495785984,-0.1605254098559998,1.1441433503975633
2453997.948215,+22:37:52.3276,+06:15:47.269,2.6492725393138463,3.6149566477814807,18.031781845879685,5.126723284343363,161.24287631389294,-0.4185910018858869,-0.16057436958523555,1.1555319599871892
2453998.74627,+22:37:20.2178,+06:12:41.795,2.6498949525994178,3.6126987389772864,18.03144531679042,5.2962955031611365,160.60810267583688,-0.41463348402084876,-0.16219430423042128,1.5448981630156888
2454420.587153,+05:39:49.4604,+33:33:33.487,1.6530018201983778,2.5346509302841356,15.21232410376097,12.571026486777635,146.0974220383524,-0.2382389656341812,-0.0789239178299347,-13.413478659959512
