Date,RA,DEC,Dobs,Dhelio,VMag,Phase,Elong.,dRAcosDEC,dDEC,RV
2458273.752442,+15:07:34.3979,-01:22:04.217,4.300876050689435,5.187783276104493,22.332693756731974,5.975340115999796,147.8341836226493,-0.34026099573488766,0.005504027869692475,14.693163025881562
2458273.81544,+15:07:32.3404,-01:22:03.728,4.3014111593564515,5.187866268826738,22.332998649664077,5.985032599862344,147.77568179188975,-0.3399448446659656,0.00528820042857163,14.721161985312953
2458276.752917,+15:05:58.5953,-01:22:02.634,4.327480480696493,5.19170929716576,22.347727421896774,6.434185048671955,145.02078959852636,-0.32447984610938646,-0.004777372271098656,16.003834717427885
2458276.774954,+15:05:57.9088,-01:22:02.787,4.327684227667298,5.191737929633257,22.347841632739506,6.437527421392607,144.99994712135774,-0.32435857893166364,-0.004852847508015418,16.01328307068078
2458279.752014,+15:04:27.5869,-01:22:45.406,4.3563001181804335,5.195578904699839,22.363758683579817,6.883777346779175,142.1661026497769,-0.30728487264595455,-0.015030465452563079,17.26426892873425
2458279.79478,+15:04:26.3255,-01:22:46.336,4.356726751360028,5.195633689241036,22.363994232652363,6.890101049728965,142.12516891797029,-0.3070298069484098,-0.015176295771480953,17.281857679620906
2458282.709618,+15:03:02.8752,-01:24:10.826,4.3868134949912525,5.199341547562371,22.380487591071365,7.314110141988107,139.3245091611379,-0.28902159541722455,-0.025074938824008474,18.452857265109863
2458282.751146,+15:03:01.7231,-01:24:12.329,4.387256269701901,5.1993940016750475,22.380728660486536,7.320043538919728,139.28448289736974,-0.28875644752341195,-0.02521524009652662,18.46912462960368
2458288.732593,+15:00:27.2442,-01:29:15.516,4.454949905221245,5.206840067147471,22.417085314989404,8.13737273655122,133.50273430145145,-0.2484616315738907,-0.04505202610895324,20.675406019322892
2458291.734988,+14:59:18.6773,-01:32:51.083,4.491680364393927,5.210495997336796,22.436439550834685,8.516395242902354,130.599629688872,-0.22702356017281058,-0.05462763180631211,21.677419466807624
2458295.690278,+14:57:57.9330,-01:38:37.038,4.542610439077942,5.215229044924365,22.46289440663607,8.98024636571266,126.7861331948587,-0.1979501606171916,-0.06677079107204904,22.893331793635312
2458295.752593,+14:57:56.7496,-01:38:43.038,4.543434694661813,5.215302856959606,22.46331911705156,8.987218603603514,126.72619294511293,-0.19748588394227043,-0.06695764354488566,22.9115638305481
2458298.689873,+14:57:04.1399,-01:43:44.625,4.5830129065197855,5.218755456431611,22.483590135963457,9.303683248353869,123.90690376359153,-0.17541850977592321,-0.07560476007724591,23.73894747551449
2458300.673438,+14:56:32.1528,-01:47:28.681,4.6105108649454944,5.2210575582294,22.497537654037288,9.503661569580993,122.01042827882748,-0.16033709077991556,-0.08126482857754225,24.262435092715513
2458300.690486,+14:56:31.8904,-01:47:30.677,4.610749775060278,5.221077241029065,22.49765835992473,9.505331576291777,121.99415684182009,-0.16020692191601235,-0.08131284279943493,24.266811370567986
2458301.799444,+14:56:15.2766,-01:49:42.999,4.626382272724825,5.222353823959547,22.505539039510502,9.612164814295726,120.93678483518337,-0.15172105595987348,-0.08441288608795128,24.54697985625541
2458305.676482,+14:55:24.3307,-01:58:03.748,4.682385762240949,5.226758610585263,22.5334981695854,9.957487887433524,117.25763829877852,-0.12180495692638393,-0.09488889668446655,25.45631986044322
2458305.691238,+14:55:24.1581,-01:58:05.765,4.6826027222666875,5.226775202110682,22.533605676195947,9.958717623130505,117.24369019864207,-0.12169046252038936,-0.09492768659554231,25.459570384591196
2458332.674479,+14:54:38.2361,-03:19:12.615,5.110750612957683,5.254924502076133,22.73525585130673,11.123942704719289,92.56654388065807,0.08259551953133766,-0.1501902028410987,28.56874697365581
2458336.671516,+14:55:15.3545,-03:33:53.305,5.176748103382239,5.258722791837774,22.764686555437194,11.119776884541182,89.05372455401073,0.11042879679307006,-0.15574119014031307,28.591779313938833
2458336.693831,+14:55:15.5917,-03:33:58.310,5.177116592943068,5.2587437287819245,22.764849764390057,11.119633577544835,89.0342081675036,0.11058218153449405,-0.15577048624970743,28.591606757199397
2458364.636389,+15:04:10.4716,-05:27:18.742,5.622789684621029,5.282626684726786,22.954008801269467,9.997123978511485,65.37364804064477,0.27840458494770604,-0.17747040068736383,25.88023235353867
2458561.918241,+17:06:19.8683,-11:54:30.200,5.0326320489322445,5.319821710539666,22.728461282401426,10.569264266543449,101.41018603282987,0.05090090477248948,0.05440404549753903,-28.006889017511845
2458574.91625,+17:06:17.8859,-11:36:08.475,4.828268893540945,5.31422970937541,22.63615885808041,9.88763367511277,114.03855548925144,-0.05512212669038413,0.06257796425111921,-26.20936375032433
2458581.964225,+17:05:19.4869,-11:25:20.221,4.724651847168223,5.310781967645059,22.587641417289372,9.294940529510358,121.048719410844,-0.11400055436231797,0.06489544419762378,-24.62842471664617
2458585.920556,+17:04:28.9961,-11:19:08.734,4.669579550330711,5.30871850601002,22.561337379683405,8.894285475389445,125.02711818239024,-0.14657979154209996,0.06543026714901119,-23.554222448222614
2458588.882095,+17:03:43.0268,-11:14:29.537,4.630038665314495,5.307113595381869,22.542215006693088,8.563453882092814,128.02227055482916,-0.17049716400359768,0.06546215188241408,-22.66990325371182
2458588.937512,+17:03:42.1009,-11:14:24.313,4.629313367655048,5.307083071850058,22.541862328784376,8.5570170255143,128.07844106393227,-0.17094023127394387,0.06545980834446934,-22.65274112195385
2458588.961343,+17:03:41.7020,-11:14:22.067,4.629001636504447,5.3070699402418935,22.54171072710344,8.5542462324428,128.10259742707086,-0.171130711302981,0.06545876786180728,-22.64535410781288
